pos,player,AB,R,H,RBI,BB,SO,LOB,opponent
dh,Deja Davis,4,1,2,1,0,0,0,WASHINGTON
2b,Aminah Vega,4,0,1,1,0,0,2,WASHINGTON
1b,Gisele Tapia,3,0,2,0,0,0,0,WASHINGTON
pr,Kelsey Zampa,0,0,0,0,0,0,0,WASHINGTON
c,Kelly Torres,3,0,1,0,0,1,0,WASHINGTON
rf,Francesca Frelick,3,0,0,0,0,1,1,WASHINGTON
lf,Kamryn Jackson,2,1,0,0,0,2,2,WASHINGTON
ph,Kairi Rodriguez,1,0,0,0,0,0,0,WASHINGTON
3b,Ana Gold,3,1,1,0,0,0,0,WASHINGTON
cf,D'Auna Jennings,1,0,0,0,0,1,0,WASHINGTON
ss,Jada Baker,2,0,1,1,0,1,0,WASHINGTON
ph,Kristiana Watson,1,0,0,0,0,0,0,WASHINGTON
p,Jala Wright,0,0,0,0,0,0,0,WASHINGTON
p,Cassidy Curd,0,0,0,0,0,0,0,WASHINGTON
ss,Deja Davis,3,0,0,0,0,1,1,OKLAHOMA
2b,Aminah Vega,2,0,0,0,1,2,0,OKLAHOMA
1b,Gisele Tapia,3,0,0,0,0,2,0,OKLAHOMA
c,Kelly Torres,3,0,2,0,0,0,1,OKLAHOMA
3b,Ana Gold,2,0,0,0,0,1,1,OKLAHOMA
dh,Kairi Rodriguez,3,0,0,0,0,1,1,OKLAHOMA
p/lf,Claire Davidson,2,0,1,0,1,0,0,OKLAHOMA
rf,Francesca Frelick,2,0,0,0,0,1,1,OKLAHOMA
ph,Sarah Goddard,1,0,1,0,0,0,0,OKLAHOMA
ph,Kristiana Watson,0,0,0,0,0,0,0,OKLAHOMA
lf/cf,Kamryn Jackson,3,0,0,0,0,0,1,OKLAHOMA
cf,D'Auna Jennings,0,0,0,0,0,0,0,OKLAHOMA
p,Jala Wright,0,0,0,0,0,0,0,OKLAHOMA
dh,Deja Davis,3,3,3,0,0,0,0,SAN JOSE STATE
ph,Jala Wright,1,0,0,0,0,1,0,SAN JOSE STATE
2b,Aminah Vega,3,0,1,1,0,0,0,SAN JOSE STATE
ph,Francesca Frelick,1,0,0,0,0,1,0,SAN JOSE STATE
1b,Gisele Tapia,2,0,0,0,0,0,0,SAN JOSE STATE
ph/1b,Kristiana Watson,2,1,2,1,0,0,0,SAN JOSE STATE
c,Kairi Rodriguez,2,2,1,1,0,0,0,SAN JOSE STATE
ph,Kelly Torres,1,0,0,0,0,0,1,SAN JOSE STATE
3b,Ana Gold,2,2,1,1,1,0,0,SAN JOSE STATE
lf,Claire Davidson,2,1,2,2,1,0,0,SAN JOSE STATE
rf,Sarah Goddard,3,1,2,2,0,0,0,SAN JOSE STATE
cf,D'Auna Jennings,2,0,0,0,0,0,3,SAN JOSE STATE
ph,Kamryn Jackson,1,0,1,2,0,0,0,SAN JOSE STATE
ss,Jada Baker,3,1,1,0,0,0,1,SAN JOSE STATE
p,Cassidy Curd,0,0,0,0,0,0,0,SAN JOSE STATE
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,SAN JOSE STATE
p,Lillie Walker,0,0,0,0,0,0,0,SAN JOSE STATE
lf/dh,Deja Davis,5,2,2,1,0,0,1,LIBERTY
2b,Aminah Vega,5,1,2,2,0,1,3,LIBERTY
1b,Kristiana Watson,3,0,1,2,1,2,0,LIBERTY
ph/c,Francesca Frelick,1,0,1,0,0,0,0,LIBERTY
p,Claire Davidson,3,0,0,0,0,0,2,LIBERTY
p,Jala Wright,2,0,0,0,0,2,0,LIBERTY
dh/c,Kairi Rodriguez,4,1,0,0,0,1,2,LIBERTY
ph,Gisele Tapia,1,0,0,0,0,0,0,LIBERTY
3b,Ana Gold,4,1,2,1,0,0,1,LIBERTY
rf,Sarah Goddard,4,1,1,1,0,1,1,LIBERTY
c,Kelly Torres,1,0,0,0,0,0,0,LIBERTY
ph/lf,Kamryn Jackson,3,0,1,0,0,0,0,LIBERTY
cf,D'Auna Jennings,4,2,4,1,0,0,0,LIBERTY
ss,Jada Baker,0,0,0,0,0,0,0,LIBERTY
ss,Deja Davis,2,2,1,0,1,0,0,STANFORD
cf,D'Auna Jennings,3,0,1,0,0,0,0,STANFORD
2b,Aminah Vega,3,1,0,0,0,1,0,STANFORD
1b,Gisele Tapia,3,0,2,3,0,0,0,STANFORD
pr,Kelsey Zampa,0,1,0,0,0,0,0,STANFORD
c,Kelly Torres,3,0,1,0,0,0,1,STANFORD
3b,Ana Gold,2,0,0,0,0,0,0,STANFORD
dh,Claire Davidson,3,0,0,1,0,1,0,STANFORD
rf,Sarah Goddard,3,0,0,0,0,1,2,STANFORD
lf,Kamryn Jackson,2,0,0,0,0,1,1,STANFORD
p,Jala Wright,0,0,0,0,0,0,0,STANFORD
p,Cassidy Curd,0,0,0,0,0,0,0,STANFORD
dh,Deja Davis,4,0,1,0,0,1,1,ALABAMA
cf,D'Auna Jennings,3,0,0,0,0,0,1,ALABAMA
ph,Kristiana Watson,1,0,0,0,0,0,1,ALABAMA
1b,Gisele Tapia,3,0,1,0,0,0,0,ALABAMA
pr,Kelsey Zampa,0,1,0,0,0,0,0,ALABAMA
c,Kelly Torres,3,2,2,3,0,1,0,ALABAMA
2b,Aminah Vega,2,0,0,0,0,2,0,ALABAMA
ph,Francesca Frelick,0,0,0,0,0,0,0,ALABAMA
3b,Ana Gold,3,0,0,0,0,1,0,ALABAMA
lf/rf,Claire Davidson,3,1,1,0,0,0,1,ALABAMA
rf,Sarah Goddard,1,0,0,0,0,1,0,ALABAMA
ph/lf,Kamryn Jackson,1,0,0,1,0,1,0,ALABAMA
ss,Jada Baker,2,0,1,0,0,0,0,ALABAMA
ph,Kairi Rodriguez,1,0,0,0,0,1,0,ALABAMA
p,Jala Wright,0,0,0,0,0,0,0,ALABAMA
p,Cassidy Curd,0,0,0,0,0,0,0,ALABAMA
dh,Deja Davis,3,0,1,0,0,0,3,USF
ph,Julia Boyet,1,0,0,0,0,0,0,USF
cf,D'Auna Jennings,4,1,2,0,0,1,0,USF
c,Kelly Torres,3,0,0,0,0,0,0,USF
c,Francesca Frelick,1,0,0,0,0,0,0,USF
1b,Kristiana Watson,2,0,0,0,0,0,0,USF
ph/1b,Gisele Tapia,1,1,1,2,1,0,0,USF
p/rf,Claire Davidson,3,1,2,1,0,0,0,USF
ph/rf,Sarah Goddard,1,0,0,0,0,1,1,USF
3b,Ana Gold,1,1,0,0,0,0,0,USF
2b,Aminah Vega,2,1,1,0,0,1,0,USF
ph,Kennedy Barron,1,0,0,0,0,1,1,USF
ss,Jada Baker,2,0,0,1,1,0,0,USF
lf,Kamryn Jackson,2,0,1,1,1,0,0,USF
rf,Kelsey Zampa,0,0,0,0,0,0,0,USF
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,USF
ss,Deja Davis,3,1,1,2,0,0,0,ARKANSAS
cf,D'Auna Jennings,3,0,0,0,0,1,1,ARKANSAS
1b,Gisele Tapia,4,1,2,0,0,1,0,ARKANSAS
c,Kelly Torres,3,1,2,2,0,0,1,ARKANSAS
lf,Claire Davidson,3,1,2,1,0,0,0,ARKANSAS
dh,Kristiana Watson,2,0,1,0,0,1,0,ARKANSAS
pr,Kelsey Zampa,0,1,0,0,0,0,0,ARKANSAS
ph,Kamryn Jackson,1,0,0,0,0,1,0,ARKANSAS
3b,Ana Gold,3,1,2,1,0,0,0,ARKANSAS
rf,Sarah Goddard,3,1,1,1,0,1,0,ARKANSAS
2b,Aminah Vega,2,0,0,0,0,1,1,ARKANSAS
ph,Francesca Frelick,1,0,0,0,0,0,2,ARKANSAS
p,Cassidy Curd,0,0,0,0,0,0,0,ARKANSAS
p,Jala Wright,0,0,0,0,0,0,0,ARKANSAS
lf,Deja Davis,1,0,0,0,1,0,0,UCF
lf/rf,Francesca Frelick,1,0,0,0,1,0,0,UCF
pr/lf,Kamryn Jackson,0,0,0,0,0,0,0,UCF
cf,D'Auna Jennings,3,0,1,0,0,0,0,UCF
ph,Julia Boyet,1,0,0,0,0,0,0,UCF
1b,Gisele Tapia,3,0,1,0,1,0,0,UCF
c,Kelly Torres,3,0,0,0,0,1,3,UCF
p/lf,Claire Davidson,4,1,2,0,0,0,2,UCF
dh,Kristiana Watson,2,0,0,0,0,1,0,UCF
p,Cassidy Curd,1,0,0,0,0,1,0,UCF
3b,Ana Gold,4,1,1,1,0,1,0,UCF
rf/lf,Sarah Goddard,4,2,1,1,0,1,2,UCF
p,Jala Wright,0,0,0,0,0,0,0,UCF
2b,Aminah Vega,4,0,0,2,0,0,0,UCF
ss,Jada Baker,0,0,0,0,0,0,0,UCF
3b,Ana Gold,3,1,0,0,1,1,1,MICHIGAN
cf,D'Auna Jennings,4,2,2,1,0,0,1,MICHIGAN
1b,Gisele Tapia,3,2,3,2,0,0,0,MICHIGAN
pr,Kelsey Zampa,0,0,0,0,0,0,0,MICHIGAN
dh,Kelly Torres,2,0,0,0,0,1,0,MICHIGAN
c,Kairi Rodriguez,1,0,0,0,0,1,0,MICHIGAN
p/dh,Claire Davidson,3,1,2,2,1,0,0,MICHIGAN
rf,Sarah Goddard,3,0,1,1,0,2,3,MICHIGAN
ph,Kristiana Watson,1,0,0,0,0,0,0,MICHIGAN
2b,Aminah Vega,3,0,1,0,0,1,1,MICHIGAN
ss,Jada Baker,3,0,0,0,0,1,0,MICHIGAN
lf,Kamryn Jackson,3,0,1,0,0,2,0,MICHIGAN
c,Francesca Frelick,0,0,0,0,0,0,0,MICHIGAN
p,Jala Wright,0,0,0,0,0,0,0,MICHIGAN
dh,Deja Davis,2,1,0,0,1,0,1,CHARLESTON SOUTHERN
cf/pr,D'Auna Jennings,2,3,2,0,0,0,0,CHARLESTON SOUTHERN
ph,Kelly Torres,0,0,0,1,1,0,0,CHARLESTON SOUTHERN
1b,Gisele Tapia,1,1,1,1,1,0,0,CHARLESTON SOUTHERN
pr,Kamryn Jackson,0,0,0,0,0,0,0,CHARLESTON SOUTHERN
rf,Claire Davidson,3,1,1,3,0,0,0,CHARLESTON SOUTHERN
3b,Ana Gold,2,1,0,0,1,0,0,CHARLESTON SOUTHERN
2b,Aminah Vega,2,0,1,1,0,0,1,CHARLESTON SOUTHERN
2b,Julia Boyet,0,0,0,0,0,0,0,CHARLESTON SOUTHERN
lf,Kelsey Zampa,2,1,1,0,0,0,0,CHARLESTON SOUTHERN
c,Francesca Frelick,2,0,1,0,0,0,0,CHARLESTON SOUTHERN
ss,Jada Baker,2,1,1,0,0,0,0,CHARLESTON SOUTHERN
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,CHARLESTON SOUTHERN
p,Lillie Walker,0,0,0,0,0,0,0,CHARLESTON SOUTHERN
3b/ss,Ana Gold,4,3,3,3,0,0,1,CHARLESTON SOUTHERN
rf/cf,Sarah Goddard,2,0,0,0,0,0,0,CHARLESTON SOUTHERN
1b/3b,Gisele Tapia,3,0,1,1,0,0,0,CHARLESTON SOUTHERN
dh,Kelly Torres,2,1,1,2,0,0,1,CHARLESTON SOUTHERN
lf,Claire Davidson,3,0,0,0,0,0,1,CHARLESTON SOUTHERN
cf,Kelsey Zampa,1,0,0,0,0,1,0,CHARLESTON SOUTHERN
ph/rf,Francesca Frelick,1,1,1,0,0,0,0,CHARLESTON SOUTHERN
ph,Kennedy Barron,1,0,0,0,0,0,0,CHARLESTON SOUTHERN
c,Kairi Rodriguez,3,1,1,1,0,0,0,CHARLESTON SOUTHERN
2b/pr,Julia Boyet,1,1,0,0,1,0,0,CHARLESTON SOUTHERN
ph,Kristiana Watson,0,0,0,0,1,0,0,CHARLESTON SOUTHERN
ss/2b,Jada Baker,2,0,0,0,0,0,0,CHARLESTON SOUTHERN
ph,Aminah Vega,1,1,1,0,0,0,0,CHARLESTON SOUTHERN
p,Lillie Walker,0,0,0,0,0,0,0,CHARLESTON SOUTHERN
p,Jala Wright,0,0,0,0,0,0,0,CHARLESTON SOUTHERN
3b,Ana Gold,4,1,1,2,0,2,0,RIDER
cf,D'Auna Jennings,4,1,1,0,0,1,1,RIDER
1b,Gisele Tapia,2,0,0,1,0,1,0,RIDER
lf,Deja Davis,2,0,0,0,0,0,0,RIDER
rf,Sarah Goddard,0,0,0,0,1,0,0,RIDER
c,Kelly Torres,2,0,0,0,0,0,1,RIDER
c,Francesca Frelick,1,0,1,0,0,0,0,RIDER
p/lf,Claire Davidson,3,0,0,0,0,0,0,RIDER
dh/1b,Kristiana Watson,3,0,0,0,0,1,2,RIDER
ss,Jada Baker,2,1,0,0,1,0,0,RIDER
2b,Aminah Vega,3,1,2,0,0,0,0,RIDER
rf,Kelsey Zampa,0,0,0,0,0,0,0,RIDER
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,RIDER
of,Deja Davis,3,3,2,0,1,0,0,CAMPBELL
cf,D'Auna Jennings,2,0,0,0,0,0,0,CAMPBELL
ph/cf,Sarah Goddard,2,1,2,2,0,0,0,CAMPBELL
2b,Gisele Tapia,3,0,0,2,0,0,0,CAMPBELL
ph/2b,Julia Boyet,1,0,0,0,0,0,0,CAMPBELL
c,Kelly Torres,3,0,0,0,0,0,0,CAMPBELL
ph,Kristiana Watson,1,0,0,0,0,0,0,CAMPBELL
lf,Claire Davidson,3,0,0,0,1,0,1,CAMPBELL
3b,Ana Gold,3,1,2,1,0,0,0,CAMPBELL
rf,Francesca Frelick,4,1,1,2,0,0,3,CAMPBELL
ss,Jada Baker,2,0,1,0,0,0,0,CAMPBELL
ph,Kelsey Zampa,1,0,0,0,0,0,0,CAMPBELL
1b,Aminah Vega,3,1,1,0,0,0,2,CAMPBELL
p,Jala Wright,0,0,0,0,0,0,0,CAMPBELL
p,Lillie Walker,0,0,0,0,0,0,0,CAMPBELL
dh,Deja Davis,3,1,1,2,0,1,0,OHIO
cf,D'Auna Jennings,4,0,1,0,0,0,0,OHIO
2b,Gisele Tapia,1,0,0,1,0,0,1,OHIO
2b,Julia Boyet,2,0,0,0,0,0,0,OHIO
3b,Ana Gold,1,1,0,0,1,0,0,OHIO
ph,Kristiana Watson,1,0,0,0,0,0,0,OHIO
lf,Claire Davidson,2,1,1,0,0,0,0,OHIO
lf,Kelsey Zampa,1,0,0,0,0,0,0,OHIO
c,Francesca Frelick,2,1,1,0,0,0,0,OHIO
ph/c,Kairi Rodriguez,1,0,0,0,0,0,3,OHIO
rf,Sarah Goddard,3,1,1,1,0,0,0,OHIO
ss,Jada Baker,2,1,0,0,1,0,0,OHIO
1b,Aminah Vega,3,1,1,2,0,0,1,OHIO
p,Lillie Walker,0,0,0,0,0,0,0,OHIO
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,OHIO
ss,Deja Davis,3,3,3,1,1,0,0,CAMPBELL
cf,D'Auna Jennings,2,1,1,0,0,0,0,CAMPBELL
ph/cf,Sarah Goddard,1,1,0,0,1,0,1,CAMPBELL
1b,Gisele Tapia,2,1,1,1,0,0,0,CAMPBELL
1b,Kennedy Barron,1,0,0,0,0,0,0,CAMPBELL
c,Kelly Torres,3,0,2,2,0,0,0,CAMPBELL
lf,Claire Davidson,3,0,2,4,0,0,0,CAMPBELL
cf,Kelsey Zampa,1,0,0,0,0,1,0,CAMPBELL
3b,Ana Gold,3,0,0,0,0,1,3,CAMPBELL
ph,Kristiana Watson,1,0,0,0,0,0,1,CAMPBELL
rf,Francesca Frelick,3,2,2,0,0,0,2,CAMPBELL
dh,Jada Baker,3,1,2,0,0,0,0,CAMPBELL
2b,Aminah Vega,3,2,1,0,0,1,0,CAMPBELL
p,Cassidy Curd,0,0,0,0,0,0,0,CAMPBELL
dh,Deja Davis,1,1,0,0,1,0,0,NORTH CAROLINA CENTRAL
ph,Kennedy Barron,1,1,1,2,0,0,0,NORTH CAROLINA CENTRAL
cf,D'Auna Jennings,4,2,4,3,0,0,0,NORTH CAROLINA CENTRAL
1b,Gisele Tapia,3,1,2,2,1,0,0,NORTH CAROLINA CENTRAL
pr,Kelsey Zampa,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
c,Kelly Torres,1,1,1,0,1,0,0,NORTH CAROLINA CENTRAL
ph/c,Kairi Rodriguez,0,0,0,1,1,0,0,NORTH CAROLINA CENTRAL
lf/rf,Claire Davidson,2,1,0,0,1,2,2,NORTH CAROLINA CENTRAL
ph/rf,Sarah Goddard,1,0,0,0,0,0,1,NORTH CAROLINA CENTRAL
rf,Francesca Frelick,0,1,0,1,2,0,0,NORTH CAROLINA CENTRAL
ph/lf,Kamryn Jackson,1,0,0,0,0,0,3,NORTH CAROLINA CENTRAL
3b,Ana Gold,3,1,2,2,0,0,0,NORTH CAROLINA CENTRAL
ss,Jada Baker,1,0,0,0,0,1,2,NORTH CAROLINA CENTRAL
ph/2b,Julia Boyet,0,1,0,0,1,0,0,NORTH CAROLINA CENTRAL
2b/ss,Aminah Vega,3,2,2,1,0,0,0,NORTH CAROLINA CENTRAL
p,Lillie Walker,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
3b/ss,Ana Gold,4,3,3,4,0,0,0,NORTH CAROLINA CENTRAL
2b,Aminah Vega,3,0,1,1,0,0,0,NORTH CAROLINA CENTRAL
dh,Kelly Torres,2,0,0,0,1,0,0,NORTH CAROLINA CENTRAL
c,Francesca Frelick,2,1,0,0,0,0,0,NORTH CAROLINA CENTRAL
c/ph,Kairi Rodriguez,1,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
rf,Sarah Goddard,3,1,1,1,0,0,0,NORTH CAROLINA CENTRAL
1b,Kristiana Watson,1,1,1,0,2,0,0,NORTH CAROLINA CENTRAL
pr,D'Auna Jennings,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
ss,Jada Baker,2,0,0,0,0,0,3,NORTH CAROLINA CENTRAL
3b,Gisele Tapia,1,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
cf,Kelsey Zampa,2,1,1,0,1,0,0,NORTH CAROLINA CENTRAL
lf,Kamryn Jackson,3,1,2,0,0,0,0,NORTH CAROLINA CENTRAL
p,Jala Wright,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
p,Cassidy Curd,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
p,Claire Davidson,0,0,0,0,0,0,0,NORTH CAROLINA CENTRAL
dh,Deja Davis,3,1,2,2,0,0,0,NOTRE DAME
cf/pr,D'Auna Jennings,1,0,0,0,0,1,0,NOTRE DAME
ph/cf,Kamryn Jackson,2,0,0,0,0,2,1,NOTRE DAME
ph,Kairi Rodriguez,1,0,1,1,0,0,0,NOTRE DAME
1b,Gisele Tapia,3,0,1,0,1,0,2,NOTRE DAME
c,Kelly Torres,3,0,1,1,0,0,2,NOTRE DAME
p/lf,Claire Davidson,3,0,1,0,0,1,0,NOTRE DAME
